raw_response
"```json
[
  {
    ""recordid"": ""1"",
    ""validityscore"": 1.0,
    ""issues"": null,
    ""summarycomment"": ""Fully valid record. All fields are plausible and consistent.""
  },
  {
    ""recordid"": ""2"",
    ""validityscore"": 0.5,
    ""issues"": ""Slightly high miles per truck per year; inconsistent truck and driver count, with a large number of trucks but only 10 drivers. "",
    ""summarycomment"": ""Mostly valid, but with a few red flags. The mileage is at the high end of the reasonable range, and the driver to truck ratio seems off, which pulls the score down.""
  },
  {
    ""recordid"": ""3"",
    ""validityscore"": 0.0,
    ""issues"": ""Invalid email format; absurd miles/truck/year. Company name is a placeholder."",
    ""summarycomment"": ""Clearly invalid record due to placeholder name, bad email and extreme metric values.""
  },
  {
    ""recordid"": ""4"",
    ""validityscore"": 1.0,
    ""issues"": null,
    ""summarycomment"": ""Fully valid record.  Metrics, consistency, and format are all good.""
  },
  {
    ""recordid"": ""5"",
    ""validityscore"": 0.5,
    ""issues"": ""Questionable company name plausibility and low number of trucks for the reported revenue."",
    ""summarycomment"": ""Slightly questionable record. The company name feels a little odd and the reported revenue seems high for the truck count. However, the other fields are plausible.""
  },
  {
    ""recordid"": ""6"",
    ""validityscore"": 0.0,
    ""issues"": ""Placeholder company name, implausible mileage and invalid phone number."",
    ""summarycomment"": ""Clearly invalid. Placeholder name and invalid format in combination with outlandish numbers.""
  }
]
```"
